objID,ra,dec,l,b,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z,specObjID,loggadop,loggadopunc,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,SNR
1237666430429758087,308.736642786734,15.2778313443995,59.1006582964646,-14.7468085526649,19.46753,18.21253,18.06573,18.53762,18.01193,0.02762205,0.0307027,0.01125147,0.02192171,0.02731764,0.4751144,0.2561067,0.1903147,0.3702059,0.1415592,2542413453901981696,3.012605,0.2247632,-2.176032,0.036791,-292.5911,3.429775,40.06093
1237666430430021299,309.271130142638,15.4360275492249,59.5360457941021,-15.0839491789268,20.96758,19.86194,19.77013,20.15632,19.69434,0.06574004,0.02963694,0.05900738,0.01976811,0.09363959,0.3994933,0.2153438,0.1600235,0.3112825,0.1190281,2542407131710121984,3.440435,0.01775634,-1.356374,0.0523,-211.5611,10.68701,11.82392
1237666430430152302,309.577244096474,15.539534454797,59.797331202502,-15.2687370640148,20.86235,18.95012,18.7672,19.64775,18.5915,0.06502263,0.0265203,0.01396888,0.1226977,0.03776624,0.4025752,0.2170051,0.161258,0.3136839,0.1199463,2542428297308956672,3.239243,0.1356605,-0.8374249,0.0759024,-110.2873,2.70917,23.71342
1237666430430217105,309.744113172716,15.7738859274202,60.0918711794912,-15.2680775840174,19.70708,18.38293,18.09517,18.53125,18.06107,0.03292881,0.006648654,0.009082997,0.01224374,0.02886215,0.3813515,0.2055646,0.1527565,0.2971465,0.1136228,2542427197797328896,3.255288,0.2658597,-1.597118,0.02420392,-269.7025,2.719114,39.03994
1237666430430218578,309.788757380869,15.7100215328951,60.0627081478477,-15.3397283695611,20.57912,19.38302,19.17864,19.61362,19.10426,0.05587921,0.01277806,0.01761618,0.0154715,0.0589485,0.4068656,0.2193177,0.1629766,0.3170269,0.1212246,2542436543646164992,3.312966,0.2059147,-2.419607,0.03613245,-107.0045,7.075351,18.82477
1237666430430282301,309.886043748507,15.7206251073889,60.1269846635971,-15.4107332356696,21.44978,21.61295,20.12994,20.29521,20.35554,0.111254,0.08561537,0.4306656,0.2252568,0.4342236,0.4361137,0.2350837,0.1746924,0.3398168,0.129939,2542440391936862208,3.475266,0.1893212,-0.9570811,0.06647412,-315.0599,11.7163,11.22103
1237666430430415215,310.238316755518,15.8023784104377,60.3973144541824,-15.6426427925217,20.74875,19.63699,19.49863,19.94769,19.35435,0.06162646,0.06773288,0.09891198,0.03301819,0.1261682,0.3378454,0.182113,0.1353294,0.2632469,0.1006602,2542448363396163584,3.376209,0.1518066,-1.562387,0.0395,-21.66901,7.216447,13.12915
1237666430431265800,312.162432749172,16.4725536437485,62.0800274571741,-16.762618247145,20.29875,19.02501,18.87198,19.36285,18.79873,0.04480247,0.01637806,0.01333141,0.01371362,0.04110795,0.3184677,0.1716676,0.1275674,0.2481479,0.09488671,2543533568571762688,3.46415,0.2089589,-1.240265,0.06069611,-98.55973,7.570464,13.90662
1237666430439457400,331.146636964255,21.8698243032393,79.2859421267013,-26.532037112609,19.97092,18.5802,18.45752,18.9416,18.42274,0.03609065,0.01159356,0.01382266,0.01418941,0.03359222,0.3831885,0.2065548,0.1534923,0.2985778,0.1141701,2544628958255671296,3.301936,0.1354253,-1.48584,0.077669,-116.3917,7.356966,18.98149
1237666430965187464,305.371959277094,14.5906986754075,56.6704138570876,-12.4098396759334,20.84876,19.4766,19.30002,19.97111,19.22558,0.07871409,0.0547239,0.02668298,0.03038855,0.0791388,0.7395406,0.3986436,0.296235,0.5762451,0.2203444,2541245485662889984,3.492091,0.3549543,-1.242114,0.1161,-226.6955,13.6149,11.07623
